timestamp,source,ssid,bssid,channel,frequency,rssi,security,latitude,longitude
2026-09-20T10:00:00Z,marauder,LAB-BASEMENT,02:0A:00:00:00:13,6,2437,-38,WPA2,1.2566938,-9.8548260
2026-09-20T10:00:07Z,kismet,LAB-NET-12,02:0A:00:00:00:20,1,2412,-85,WPA3,1.2348661,-9.8771004
2026-09-20T10:00:14Z,generic,LAB-MESH-B,02:0A:00:00:00:08,11,2462,-62,OPEN,1.2344337,-9.8763894
2026-09-20T10:00:21Z,marauder,<hidden>,02:0A:00:00:00:14,6,2437,-30,WPA3,1.2353519,-9.8768546
2026-09-20T10:00:28Z,minino,LAB-NET-21,02:0A:00:00:00:29,36,5180,-90,OPEN,1.2450088,-9.8658483
2026-09-20T10:00:35Z,generic,LAB-NET-25,02:0A:00:00:00:2D,6,2437,-86,WPA3,1.2453449,-9.8658617
2026-09-20T10:00:42Z,minino,LAB-MESH-A,02:0A:00:00:00:3C,11,2462,-63,OPEN,1.2350338,-9.8763995
2026-09-20T10:00:49Z,kismet,LAB-CORRIDOR,02:0A:00:00:00:0F,1,2412,-52,WPA2,1.2574425,-9.8537984
2026-09-20T10:00:56Z,kismet,LAB-NET-17,02:0A:00:00:00:25,44,5220,-58,OPEN,1.2234066,-9.8879678
2026-09-20T10:01:03Z,kismet,LAB-NET-09,02:0A:00:00:00:1D,11,2462,-89,WPA2,1.2449427,-9.8655409
2026-09-20T10:01:10Z,kismet,<hidden>,02:0A:00:00:00:2C,1,2412,-54,OPEN,1.2346881,-9.8758219
2026-09-20T10:01:17Z,generic,LAB-NET-11,02:0A:00:00:00:1F,1,2412,-50,UNKNOWN,1.2566966,-9.8546759
2026-09-20T10:01:24Z,kismet,LAB-MESH-B,02:0A:00:00:00:06,1,2412,-64,OPEN,1.2233101,-9.8879406
2026-09-20T10:01:31Z,kismet,LAB-BASEMENT,02:0A:00:00:00:13,1,2412,-74,WPA2,1.2566297,-9.8539042
2026-09-20T10:01:38Z,generic,LAB-NET-30,02:0A:00:00:00:32,1,2412,-64,WPA2,1.2234801,-9.8868733
2026-09-20T10:01:45Z,minino,LAB-NET-14,02:0A:00:00:00:22,1,2412,-73,UNKNOWN,1.2238670,-9.8874536
2026-09-20T10:01:52Z,minino,LAB-MESH-A,02:0A:00:00:00:3C,11,2462,-45,OPEN,1.2351772,-9.8765677
2026-09-20T10:01:59Z,generic,LAB-NET-16,02:0A:00:00:00:24,1,2412,-30,WPA2,0.0,0.0
2026-09-20T10:02:06Z,generic,LAB-DELTA,02:0A:00:00:00:36,11,2462,-37,WEP,1.2241489,-9.8879873
2026-09-20T10:02:13Z,minino,LAB-NET-11,02:0A:00:00:00:1F,1,2412,-35,UNKNOWN,1.2568710,-9.8545073
2026-09-20T10:02:20Z,marauder,LAB-NET-30,02:0A:00:00:00:32,1,2412,-72,WPA2,1.2233206,-9.8869595
2026-09-20T10:02:27Z,generic,LAB-DELTA,02:0A:00:00:00:36,11,2462,-68,WEP,1.2242549,-9.8876709
2026-09-20T10:02:34Z,generic,LAB-NET-29,02:0A:00:00:00:31,6,2437,-76,WPA2,1.2565038,-9.8548192
2026-09-20T10:02:41Z,generic,LAB-NET-07,02:0A:00:00:00:1B,36,5180,-66,WPA3,0.0,0.0
2026-09-20T10:02:48Z,kismet,LAB-ALPHA,02:0A:00:00:00:33,11,2462,-35,WPA3,1.2575583,-9.8543285
2026-09-20T10:02:55Z,generic,<hidden>,02:0A:00:00:00:37,11,2462,-35,WPA2,1.2568305,-9.8543899
2026-09-20T10:03:02Z,generic,LAB-OFFICE,02:0A:00:00:00:0A,153,5765,-49,WPA2,1.2239071,-9.8880303
2026-09-20T10:03:09Z,generic,<hidden>,02:0A:00:00:00:16,40,5200,-35,WPA2,1.2240316,-9.8878463
2026-09-20T10:03:16Z,marauder,LAB-NET-20,02:0A:00:00:00:28,11,2462,-63,WPA3,1.2347777,-9.8758697
2026-09-20T10:03:23Z,kismet,LAB-NET-29,02:0A:00:00:00:31,1,2412,-68,WPA2,1.2348782,-9.8758977
2026-09-20T10:03:30Z,minino,LAB-OFFICE,02:0A:00:00:00:0A,153,5765,-85,WPA2,1.2233160,-9.8873634
2026-09-20T10:03:37Z,kismet,LAB-NET-05,02:0A:00:00:00:19,6,2437,-61,OPEN,1.2452642,-9.8647716
2026-09-20T10:03:44Z,kismet,LAB-MESH-A,02:0A:00:00:00:01,36,5180,-53,OPEN,1.2570732,-9.8548682
2026-09-20T10:03:51Z,generic,LAB-NET-08,02:0A:00:00:00:1C,6,2437,-84,WPA2,1.2344987,-9.8768598
