timestamp,source,ssid,bssid,channel,frequency,rssi,security,latitude,longitude
2026-09-20T10:03:00Z,generic,<hidden>,02:04:00:00:00:01,48,5240,-37,WPA3,1.2559896,-9.8546619
2026-09-20T10:03:02Z,generic,LAB-LABORATORY,02:04:00:00:00:02,6,2437,-55,WPA3,1.2345118,-9.8766357
2026-09-20T10:03:04Z,generic,LAB-MESH-A,02:04:00:00:00:03,1,2412,-69,WPA3,1.2572626,-9.8548495
2026-09-20T10:03:06Z,generic,LAB-MESH-B,02:04:00:00:00:04,6,2437,-44,WPA2,1.2343041,-9.8760337
2026-09-20T10:03:08Z,generic,LAB-OFFICE,02:04:00:00:00:05,48,5240,-48,UNKNOWN,1.2562248,-9.8550471
2026-09-20T10:03:10Z,generic,LAB-SENSOR,02:04:00:00:00:06,153,5765,-75,OPEN,0.0,0.0
2026-09-20T10:03:12Z,generic,<hidden>,02:04:00:00:00:07,1,2412,-39,UNKNOWN,1.2566284,-9.8548849
2026-09-20T10:03:14Z,generic,LAB-WIFI-01,02:04:00:00:00:08,153,5765,-58,WPA2,1.2350133,-9.8769931
2026-09-20T10:03:16Z,generic,LAB-WIFI-02,02:04:00:00:00:01,48,5240,-45,WPA3,1.2573463,-9.8543907
2026-09-20T10:03:18Z,generic,LAB-ALPHA,02:04:00:00:00:02,48,5240,-48,UNKNOWN,1.2342755,-9.8761348
2026-09-20T10:03:20Z,generic,LAB-BETA,02:04:00:00:00:03,48,5240,-77,OPEN,1.2566718,-9.8536700
2026-09-20T10:03:22Z,generic,LAB-GAMMA,02:04:00:00:00:04,11,2462,-38,OPEN,1.2341825,-9.8769476
2026-09-20T10:03:24Z,generic,<hidden>,02:04:00:00:00:05,11,2462,-72,WPA2,1.2563718,-9.8544172
2026-09-20T10:03:26Z,generic,LAB-ECHO,02:04:00:00:00:06,6,2437,-63,OPEN,1.2346320,-9.8771218
2026-09-20T10:03:28Z,generic,LAB-FOXTROT,02:04:00:00:00:07,153,5765,-58,WPA2,1.2560918,-9.8544688
2026-09-20T10:03:30Z,generic,LAB-GUEST,02:04:00:00:00:08,153,5765,-43,WPA2,1.2344400,-9.8758955
2026-09-20T10:03:32Z,generic,LAB-IOT,02:04:00:00:00:01,11,2462,-68,OPEN,1.2569101,-9.8543578
2026-09-20T10:03:34Z,generic,LAB-LABORATORY,02:04:00:00:00:02,153,5765,-36,WPA3,1.2352933,-9.8766728
2026-09-20T10:03:36Z,generic,<hidden>,02:04:00:00:00:03,1,2412,-63,WPA2,1.2563401,-9.8544237
2026-09-20T10:03:38Z,generic,LAB-MESH-B,02:04:00:00:00:04,48,5240,-79,WEP,1.2344147,-9.8770791
2026-09-20T10:03:40Z,generic,LAB-OFFICE,02:04:00:00:00:05,1,2412,-82,WPA3,1.2574401,-9.8541740
2026-09-20T10:03:42Z,generic,LAB-SENSOR,02:04:00:00:00:06,48,5240,-67,WPA2,1.2345065,-9.8772627
2026-09-20T10:03:44Z,generic,LAB-TRAINING,02:04:00:00:00:07,48,5240,-71,UNKNOWN,1.2572070,-9.8545144
2026-09-20T10:03:46Z,generic,LAB-WIFI-01,02:04:00:00:00:08,11,2462,-73,OPEN,1.2349662,-9.8772599
