first_time,device_mac,device_name,channel,frequency,signal_dbm,crypt,lat,lon
2026-09-20T10:02:00Z,02:03:00:00:00:01,<hidden>,149,5745,-90,OPEN,1.2237824,-9.8874756
2026-09-20T10:02:05Z,02:03:00:00:00:02,LAB-GUEST,6,2437,-74,WPA2,1.2574798,-9.8549553
2026-09-20T10:02:10Z,02:03:00:00:00:03,LAB-IOT,149,5745,-77,OPEN,1.2235419,-9.8880185
2026-09-20T10:02:15Z,02:03:00:00:00:04,LAB-LABORATORY,44,5220,-74,UNKNOWN,1.2570038,-9.8546986
2026-09-20T10:02:20Z,02:03:00:00:00:05,LAB-MESH-A,11,2462,-88,WPA2,1.2228044,-9.8877766
2026-09-20T10:02:25Z,02:03:00:00:00:06,LAB-MESH-B,44,5220,-55,OPEN,1.2570084,-9.8547019
2026-09-20T10:02:30Z,02:03:00:00:00:07,LAB-OFFICE,6,2437,-56,WPA2,1.2228357,-9.8869422
2026-09-20T10:02:35Z,02:03:00:00:00:08,LAB-SENSOR,1,2412,-71,WPA2,1.2568730,-9.8544333
2026-09-20T10:02:40Z,02:03:00:00:00:01,LAB-TRAINING,11,2462,-77,OPEN,1.2242122,-9.8883905
2026-09-20T10:02:45Z,02:03:00:00:00:02,<hidden>,44,5220,-51,OPEN,1.2565549,-9.8542252
2026-09-20T10:02:50Z,02:03:00:00:00:03,LAB-BETA,6,2437,-34,WPA2,1.2230355,-9.8881943
2026-09-20T10:02:55Z,02:03:00:00:00:04,LAB-GAMMA,44,5220,-39,OPEN,1.2574682,-9.8538692
2026-09-20T10:03:00Z,02:03:00:00:00:05,LAB-DELTA,1,2412,-66,UNKNOWN,1.2230538,-9.8881996
2026-09-20T10:03:05Z,02:03:00:00:00:06,LAB-ECHO,44,5220,-68,WPA2,1.2563449,-9.8538145
2026-09-20T10:03:10Z,02:03:00:00:00:07,LAB-FOXTROT,6,2437,-65,WPA2,1.2230209,-9.8884164
2026-09-20T10:03:15Z,02:03:00:00:00:08,LAB-GUEST,149,5745,-65,OPEN,1.2575360,-9.8546744
2026-09-20T10:03:20Z,02:03:00:00:00:01,LAB-IOT,11,2462,-79,WPA3,1.2231865,-9.8884101
2026-09-20T10:03:25Z,02:03:00:00:00:02,LAB-LABORATORY,11,2462,-44,OPEN,1.2560502,-9.8541665
2026-09-20T10:03:30Z,02:03:00:00:00:03,<hidden>,149,5745,-78,WPA2,1.2242315,-9.8882693
2026-09-20T10:03:35Z,02:03:00:00:00:04,LAB-MESH-B,149,5745,-47,OPEN,1.2559917,-9.8536401
2026-09-20T10:03:40Z,02:03:00:00:00:05,LAB-OFFICE,1,2412,-30,OPEN,1.2237297,-9.8878715
2026-09-20T10:03:45Z,02:03:00:00:00:06,LAB-SENSOR,11,2462,-58,WPA2,1.2564913,-9.8537642
2026-09-20T10:03:50Z,02:03:00:00:00:07,LAB-TRAINING,6,2437,-78,WPA2,1.2233005,-9.8879813
2026-09-20T10:03:55Z,02:03:00:00:00:08,LAB-ALPHA,149,5745,-54,WPA2,1.2570727,-9.8536765
