MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,Latitude,Longitude
02:01:00:00:00:01,<hidden>,WPA2,2026-09-20T10:00:00Z,6,-79,1.2338078,-9.8769032
02:01:00:00:00:02,LAB-BETA,WPA2,2026-09-20T10:00:03Z,36,-80,1.2463064,-9.8660930
02:01:00:00:00:03,LAB-GAMMA,OPEN,2026-09-20T10:00:06Z,6,-41,1.2345764,-9.8773007
02:01:00:00:00:04,LAB-DELTA,OPEN,2026-09-20T10:00:09Z,1,-75,1.2452316,-9.8652893
02:01:00:00:00:05,LAB-ECHO,WPA2,2026-09-20T10:00:12Z,11,-61,1.2343122,-9.8770944
02:01:00:00:00:06,LAB-FOXTROT,UNKNOWN,2026-09-20T10:00:15Z,11,-39,0.0,0.0
02:01:00:00:00:07,LAB-GUEST,WPA3,2026-09-20T10:00:18Z,1,-45,1.2339675,-9.8758675
02:01:00:00:00:08,<hidden>,WPA2,2026-09-20T10:00:21Z,1,-71,1.2462576,-9.8653083
02:01:00:00:00:01,LAB-LABORATORY,WPA2,2026-09-20T10:00:24Z,1,-56,1.2353442,-9.8759747
02:01:00:00:00:02,LAB-MESH-A,OPEN,2026-09-20T10:00:27Z,6,-41,1.2454626,-9.8656398
02:01:00:00:00:03,LAB-ALPHA,WPA3,2026-09-20T10:00:30Z,6,-70,1.2348047,-9.8763686
02:01:00:00:00:04,LAB-BETA,OPEN,2026-09-20T10:00:33Z,6,-36,1.2454860,-9.8646489
02:01:00:00:00:05,LAB-GAMMA,WPA2,2026-09-20T10:00:36Z,11,-81,1.2341343,-9.8772918
02:01:00:00:00:06,LAB-DELTA,WPA2,2026-09-20T10:00:39Z,11,-54,1.2463876,-9.8648299
02:01:00:00:00:07,<hidden>,WPA2,2026-09-20T10:00:42Z,11,-38,1.2352311,-9.8766090
02:01:00:00:00:08,LAB-FOXTROT,WPA2,2026-09-20T10:00:45Z,36,-77,1.2452993,-9.8652968
02:01:00:00:00:01,LAB-GUEST,WPA2,2026-09-20T10:00:48Z,1,-75,1.2339133,-9.8772678
02:01:00:00:00:02,LAB-IOT,WPA3,2026-09-20T10:00:51Z,36,-56,1.2455544,-9.8661305
02:01:00:00:00:03,LAB-LABORATORY,OPEN,2026-09-20T10:00:54Z,1,-78,1.2353215,-9.8759660
02:01:00:00:00:04,LAB-MESH-A,WPA2,2026-09-20T10:00:57Z,11,-58,1.2457381,-9.8658052
02:01:00:00:00:05,LAB-ALPHA,WEP,2026-09-20T10:01:00Z,11,-37,1.2337730,-9.8761879
02:01:00:00:00:06,<hidden>,UNKNOWN,2026-09-20T10:01:03Z,11,-53,1.2463391,-9.8648393
02:01:00:00:00:07,LAB-GAMMA,WPA3,2026-09-20T10:01:06Z,1,-54,1.2340123,-9.8761232
02:01:00:00:00:08,LAB-DELTA,WPA2,2026-09-20T10:01:09Z,11,-70,0.0,0.0
