timestamp,bssid,ssid,channel,rssi,security,lat,lon
2026-09-20T10:01:00Z,02:02:00:00:00:01, <hidden> ,40,-36,WPA2,1.2463940,-9.8660951
2026-09-20T10:01:04Z,02:02:00:00:00:02,LAB-ECHO,40,-53,WPA2,1.2238820,-9.8882489
2026-09-20T10:01:08Z,02:02:00:00:00:03,LAB-FOXTROT,6,-43,WPA2,1.2458495,-9.8646891
2026-09-20T10:01:12Z,02:02:00:00:00:04,LAB-GUEST,40,-81,WPA2,1.2236965,-9.8877533
2026-09-20T10:01:16Z,02:02:00:00:00:05,LAB-IOT,6,-51,WPA2,,
2026-09-20T10:01:20Z,02:02:00:00:00:06, LAB-LABORATORY ,6,-84,UNKNOWN,,
2026-09-20T10:01:24Z,02:02:00:00:00:07,LAB-MESH-A,40,-75,WPA3,1.2449923,-9.8658513
2026-09-20T10:01:28Z,02:02:00:00:00:08,LAB-MESH-B,6,-38,WPA3,1.2240685,-9.8875324
2026-09-20T10:01:32Z,02:02:00:00:00:01,<hidden>,11,-61,WPA2,1.2450298,-9.8651777
2026-09-20T10:01:36Z,02:02:00:00:00:02,LAB-ALPHA,1,-85,WPA2,1.2227434,-9.8874088
2026-09-20T10:01:40Z,02:02:00:00:00:03, LAB-BETA ,6,-54,WPA2,1.2462576,-9.8658342
2026-09-20T10:01:44Z,02:02:00:00:00:04,LAB-GAMMA,1,-60,UNKNOWN,1.2231024,-9.8880546
2026-09-20T10:01:48Z,02:02:00:00:00:05,LAB-DELTA,1,-83,WPA,1.2450356,-9.8651887
2026-09-20T10:01:52Z,02:02:00:00:00:06,LAB-ECHO,6,-33,WPA2,1.2229228,-9.8876773
2026-09-20T10:01:56Z,02:02:00:00:00:07,LAB-FOXTROT,1,-64,WPA2,0.0,0.0
2026-09-20T10:02:00Z,02:02:00:00:00:08, LAB-GUEST ,40,-79,WPA2,1.2233847,-9.8877775
2026-09-20T10:02:04Z,02:02:00:00:00:01,<hidden>,1,-41,WPA2,1.2449725,-9.8650549
2026-09-20T10:02:08Z,02:02:00:00:00:02,LAB-LABORATORY,6,-85,WPA,0.0,0.0
2026-09-20T10:02:12Z,02:02:00:00:00:03,LAB-MESH-A,6,-63,WPA2,1.2451762,-9.8652800
2026-09-20T10:02:16Z,02:02:00:00:00:04,LAB-MESH-B,1,-62,OPEN,1.2230506,-9.8875031
2026-09-20T10:02:20Z,02:02:00:00:00:05, LAB-OFFICE ,11,-73,WPA2,1.2453851,-9.8658149
2026-09-20T10:02:24Z,02:02:00:00:00:06,LAB-ALPHA,1,-88,WPA3,1.2236895,-9.8877227
2026-09-20T10:02:28Z,02:02:00:00:00:07,LAB-BETA,6,-56,WPA2,1.2464727,-9.8661149
2026-09-20T10:02:32Z,02:02:00:00:00:08,LAB-GAMMA,11,-70,WPA2,1.2240661,-9.8870475
