Timestamp,Lat,Long,SSID,BSSID,Canal,Señal,Seguridad
,0.0000000,0.0000000,Verizon-RC400L-42,58:32:77:25:92:42,1,-35,WPA2_PSK
,0.0000000,0.0000000,Home,18:A6:F7:BF:71:72,7,-56,WPA_WPA2_PSK
,0.0000000,0.0000000,TOTALPLAY_ECBA0B,34:6B:46:EC:BA:0B,11,-61,WPA2_PSK
,0.0000000,0.0000000,INFINITUMA5B1,A0:31:DB:68:D3:68,1,-70,WPA2_PSK
,0.0000000,0.0000000,Hogar,A2:31:DB:A0:CC:C4,4,-70,WPA2_PSK
,0.0000000,0.0000000,TOTALPLAY_E14025,3C:17:10:E1:40:25,11,-70,WPA2_PSK
,0.0000000,0.0000000,TOTALPLAY_ECAD72,34:6B:46:EC:AD:72,1,-72,WPA2_PSK
,0.0000000,0.0000000,,A2:31:DB:A0:CC:C7,4,-72,OPEN
,0.0000000,0.0000000,Club_Totalplay_WiFi,3C:A3:7E:7F:5D:23,8,-72,OPEN
,0.0000000,0.0000000,,8A:69:3D:8B:03:93,1,-74,OPEN
,0.0000000,0.0000000,,A2:31:DB:A0:CC:C6,4,-75,WPA2_PSK
,0.0000000,0.0000000,Totalplay-1BAA,3C:A3:7E:7F:5D:20,8,-77,WPA2_PSK
,0.0000000,0.0000000,Totalplay-36B5,8A:69:3D:8B:03:90,1,-78,WPA2_PSK
,0.0000000,0.0000000,,3C:A3:7E:7F:5D:22,8,-79,WPA2_PSK
,0.0000000,0.0000000,Club_Totalplay_WiFi,BC:47:32:02:FF:89,6,-80,OPEN
,0.0000000,0.0000000,Ariadnazashyd_2.4G,BC:47:32:02:FF:88,6,-81,WPA_WPA2_PSK
,0.0000000,0.0000000,,72:54:25:23:7A:49,11,-84,UNKNOWN
,0.0000000,0.0000000,IZZI-D087,70:54:25:73:7A:49,11,-85,WPA2_PSK
,0.0000000,0.0000000,,66:57:25:67:52:27,8,-87,WPA2_PSK
,0.0000000,0.0000000,Verizon-RC400L-42,58:32:77:25:92:42,1,-33,WPA2_PSK
,0.0000000,0.0000000,TOTALPLAY_ECBA0B,34:6B:46:EC:BA:0B,11,-50,WPA2_PSK
,0.0000000,0.0000000,,A2:31:DB:A0:CC:C6,4,-62,WPA2_PSK
,0.0000000,0.0000000,Hogar,A2:31:DB:A0:CC:C4,4,-65,WPA2_PSK
,0.0000000,0.0000000,Home,18:A6:F7:BF:71:72,7,-65,WPA_WPA2_PSK
,0.0000000,0.0000000,,A2:31:DB:A0:CC:C7,4,-67,OPEN
,0.0000000,0.0000000,IZZI-29A4,94:04:E3:EF:29:A8,1,-68,WPA2_PSK
,0.0000000,0.0000000,TOTALPLAY_ECAD72,34:6B:46:EC:AD:72,1,-71,WPA2_PSK
,0.0000000,0.0000000,INFINITUMA5B1,A0:31:DB:68:D3:68,1,-74,WPA2_PSK
,0.0000000,0.0000000,TOTALPLAY_E14025,3C:17:10:E1:40:25,11,-74,WPA2_PSK
,0.0000000,0.0000000,Totalplay-36B5,8A:69:3D:8B:03:90,1,-77,WPA2_PSK
,0.0000000,0.0000000,,8A:69:3D:8B:03:92,1,-77,WPA2_PSK
,0.0000000,0.0000000,Totalplay-1BAA,3C:A3:7E:7F:5D:20,8,-78,WPA2_PSK
,0.0000000,0.0000000,,8A:69:3D:8B:03:93,1,-79,OPEN
,0.0000000,0.0000000,Club_Totalplay_WiFi,3C:A3:7E:7F:5D:23,8,-80,OPEN
,0.0000000,0.0000000,,3C:A3:7E:7F:5D:22,8,-80,WPA2_PSK
,0.0000000,0.0000000,Mega_2.4G_D834,F4:E8:4F:FF:D8:34,3,-83,WPA2_PSK
,0.0000000,0.0000000,Mega_2.4G_8B54,48:96:D9:26:8B:54,4,-83,WPA_WPA2_PSK
,0.0000000,0.0000000,Club_Totalplay_WiFi,BC:47:32:02:FF:89,6,-83,OPEN
,0.0000000,0.0000000,Total-4EB6_EXT,1C:3B:F3:83:7C:06,2,-90,WPA2_PSK
,0.0000000,0.0000000,IZZI-083E,70:4F:B8:F8:E4:1D,1,-92,WPA2_PSK
,0.0000000,0.0000000,MODEM Ruben Cuarto ,D8:32:14:D4:FE:81,5,-93,WPA_WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,Verizon-RC400L-42,58:32:77:25:92:42,1,-33,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,Hogar,A2:31:DB:A0:CC:C4,4,-60,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,,A2:31:DB:A0:CC:C7,4,-61,OPEN
2026-03-19 21:10:27,19.5308514,-99.0413055,TOTALPLAY_ECAD72,34:6B:46:EC:AD:72,1,-63,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,Home,18:A6:F7:BF:71:72,7,-63,WPA_WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,,A2:31:DB:A0:CC:C6,4,-65,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,Totalplay-36B5,8A:69:3D:8B:03:90,1,-69,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,,8A:69:3D:8B:03:92,1,-69,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,,8A:69:3D:8B:03:93,1,-71,OPEN
2026-03-19 21:10:27,19.5308514,-99.0413055,TOTALPLAY_E14025,3C:17:10:E1:40:25,11,-74,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,IZZI-29A4,94:04:E3:EF:29:A8,1,-79,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,Mega_2.4G_D834,F4:E8:4F:FF:D8:34,3,-83,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,INFINITUMA5B1,A0:31:DB:68:D3:68,1,-84,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,Ariadnazashyd_2.4G,BC:47:32:02:FF:88,6,-84,WPA_WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,Total-4EB6_EXT,1C:3B:F3:83:7C:06,2,-87,WPA2_PSK
2026-03-19 21:10:27,19.5308514,-99.0413055,Mega_2.4G_8B54,48:96:D9:26:8B:54,4,-88,WPA_WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,Verizon-RC400L-42,58:32:77:25:92:42,1,-44,WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,TOTALPLAY_ECAD72,34:6B:46:EC:AD:72,1,-60,WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,Hogar,A2:31:DB:A0:CC:C4,4,-60,WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,,A2:31:DB:A0:CC:C6,4,-60,WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,,A2:31:DB:A0:CC:C7,4,-60,OPEN
2026-03-19 21:10:43,19.5308743,-99.0413361,Home,18:A6:F7:BF:71:72,7,-62,WPA_WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,IZZI-29A4,94:04:E3:EF:29:A8,1,-70,WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,Mega_2.4G_D834,F4:E8:4F:FF:D8:34,3,-71,WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,Mega_2.4G_8B54,48:96:D9:26:8B:54,4,-73,WPA_WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,Totalplay-36B5,8A:69:3D:8B:03:90,1,-75,WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,,8A:69:3D:8B:03:93,1,-76,OPEN
2026-03-19 21:10:43,19.5308743,-99.0413361,MODEM Ruben Cuarto ,D8:32:14:D4:FE:81,5,-89,WPA_WPA2_PSK
2026-03-19 21:10:43,19.5308743,-99.0413361,Total-4EB6_EXT,1C:3B:F3:83:7C:06,2,-91,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,Verizon-RC400L-42,58:32:77:25:92:42,1,-33,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,Hogar,A2:31:DB:A0:CC:C4,4,-60,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,TOTALPLAY_ECAD72,34:6B:46:EC:AD:72,1,-62,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,Home,18:A6:F7:BF:71:72,7,-64,WPA_WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,Mega_2.4G_D834,F4:E8:4F:FF:D8:34,3,-67,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,IZZI-29A4,94:04:E3:EF:29:A8,1,-69,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,,8A:69:3D:8B:03:93,1,-72,OPEN
2026-03-19 21:10:59,19.5308743,-99.0413437,,8A:69:3D:8B:03:92,1,-72,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,Totalplay-36B5,8A:69:3D:8B:03:90,1,-73,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,Mega_2.4G_8B54,48:96:D9:26:8B:54,4,-74,WPA_WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,TOTALPLAY_E14025,3C:17:10:E1:40:25,11,-76,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,TOTALPLAY_ECBA0B,34:6B:46:EC:BA:0B,11,-80,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,IZZI-083E,70:4F:B8:F8:E4:1D,1,-90,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,INFINITUMA5B1,A0:31:DB:68:D3:68,1,-92,WPA2_PSK
2026-03-19 21:10:59,19.5308743,-99.0413437,,72:4F:B8:A8:E4:1D,1,-92,UNKNOWN
2026-03-19 21:11:15,19.5308762,-99.0413742,Verizon-RC400L-42,58:32:77:25:92:42,1,-38,WPA2_PSK
2026-03-19 21:11:15,19.5308762,-99.0413742,,A2:31:DB:A0:CC:C7,4,-57,OPEN
2026-03-19 21:11:15,19.5308762,-99.0413742,Hogar,A2:31:DB:A0:CC:C4,4,-58,WPA2_PSK
2026-03-19 21:11:15,19.5308762,-99.0413742,,A2:31:DB:A0:CC:C6,4,-58,WPA2_PSK
2026-03-19 21:11:15,19.5308762,-99.0413742,,8A:69:3D:8B:03:93,1,-78,OPEN
2026-03-19 21:11:15,19.5308762,-99.0413742,Totalplay-E2A1,AC:8D:34:BF:4F:0C,7,-88,WPA2_PSK
2026-03-19 21:11:15,19.5308762,-99.0413742,INFINITUMA5B1,A0:31:DB:68:D3:68,1,-89,WPA2_PSK
